,city,lat,lon,temp,humidity,wind,cloud,country,date
163,ginda,30.6945,78.4932,40.98,48,6.33,0,IN,1611012864
164,kalmunai,7.4167,81.8167,73.98,88,12.64,91,LK,1611012865
165,magadan,59.5667,150.8,-5.62,77,16.46,100,RU,1611012865
166,ponta do sol,32.6667,-17.1,55.0,66,1.99,78,PT,1611012865
167,uige,-7.6087,15.0613,66.56,86,2.8,100,AO,1611012865
168,rio cuarto,-33.1307,-64.3499,78.8,47,11.5,0,AR,1611012866
169,ambato,-1.2491,-78.6168,55.4,67,19.57,75,EC,1611012758
170,sinnamary,5.3833,-52.95,77.68,83,13.02,50,GF,1611012866
171,chokurdakh,70.6333,147.9167,-32.73,84,3.78,11,RU,1611012866
172,waipawa,-41.4122,175.5153,68.0,68,25.32,75,NZ,1611012866
173,killybegs,54.6333,-8.45,46.0,97,3.0,100,IE,1611012867
174,zhezkazgan,47.8043,67.7144,13.64,94,8.79,99,KZ,1611012867
175,dana point,33.467,-117.6981,75.0,40,1.99,1,US,1611012655
176,general pico,-35.6566,-63.7568,80.73,16,9.31,0,AR,1611012867
177,havelock,34.8791,-76.9013,46.99,53,8.05,20,US,1611012868
178,baker city,44.7749,-117.8344,39.2,56,14.97,75,US,1611012868
179,namalenga,-10.95,39.1,71.37,96,2.04,76,TZ,1611012869
180,huanren,41.2647,125.3667,-4.88,83,0.96,0,CN,1611012869
181,hargeysa,9.56,44.065,59.81,56,14.99,0,SO,1611012870
182,godfrey,38.9556,-90.1868,41.0,65,5.75,90,US,1611012801
183,flinders,-34.5833,150.8552,71.01,71,5.99,74,AU,1611012870
184,discovery bay,37.9085,-121.6002,75.2,10,21.85,1,US,1611012870
185,buraydah,26.326,43.975,53.6,62,8.05,0,SA,1611012870
186,the valley,18.217,-63.0578,78.8,73,11.5,40,AI,1611012871
187,tamale,9.4008,-0.8393,79.61,16,5.55,0,GH,1611012684
188,porbandar,21.6422,69.6093,63.95,34,8.08,0,IN,1611012871
189,lompoc,34.6391,-120.4579,73.4,24,9.22,1,US,1611012744
190,atar,20.5169,-13.0499,61.83,25,14.63,100,MR,1611012872
191,maryborough,-25.5333,152.7,81.0,80,3.0,78,AU,1611012872
192,cabugao,17.7931,120.4578,75.2,69,4.61,40,PH,1611012873
193,oskarshamn,57.2645,16.4484,33.8,93,10.36,90,SE,1611012873
194,isangel,-19.55,169.2667,87.8,70,9.22,75,VU,1611012848
195,teruel,40.6667,-0.6667,41.0,100,3.44,0,ES,1611012874
196,asau,46.4333,26.4,9.0,66,5.66,12,RO,1611012874
197,zhigansk,66.7697,123.3711,-50.58,75,7.09,53,RU,1611012875
198,calvinia,-31.4707,19.776,64.26,47,5.19,0,ZA,1611012807
199,lodwar,3.1191,35.5973,82.4,40,11.41,100,KE,1611012875
200,lagunas,-5.2269,-75.6753,75.85,93,5.55,91,PE,1611012875
201,phulji,26.8825,67.6807,48.18,44,3.38,0,PK,1611012876
202,christiansburg,37.1298,-80.4089,33.8,64,6.91,90,US,1611012876
203,jalali,27.8667,78.2667,51.39,80,3.8,0,IN,1611012876
204,yasinya,48.2794,24.3604,5.92,90,4.85,88,UA,1611012877
205,necochea,-38.5473,-58.7368,68.0,80,3.04,0,AR,1611012694
206,igunga,-4.2833,33.8833,65.35,88,1.77,94,TZ,1611012878
207,ribeira grande,38.5167,-28.7,62.78,84,27.67,95,PT,1611012878
208,bend,44.0582,-121.3153,44.6,45,4.61,1,US,1611012729
209,upernavik,72.7868,-56.1549,8.55,84,8.46,40,GL,1611012882
210,shingu,33.7333,135.9833,41.0,52,18.41,40,JP,1611012882
211,san cristobal,7.7669,-72.225,78.8,73,4.61,40,VE,1611012882
212,bitung,1.4451,125.1824,78.8,89,1.14,20,ID,1611012883
213,cape town,-33.9258,18.4232,69.01,88,13.8,0,ZA,1611012883
214,coquimbo,-29.9533,-71.3436,60.8,77,11.5,20,CL,1611012883
215,lorengau,-2.0226,147.2712,84.18,77,10.76,55,PG,1611012883
216,darhan,49.4867,105.9228,2.97,88,6.85,17,MN,1611012884
217,nemuro,43.3236,145.575,23.65,95,30.22,100,JP,1611012884
218,vyartsilya,62.1764,30.693,18.3,97,5.7,100,RU,1611012885
219,sassandra,4.95,-6.0833,77.83,85,5.88,27,CI,1611012885
220,huarmey,-10.0681,-78.1522,71.67,79,7.47,87,PE,1611012885
221,shihezi,44.3,86.0333,1.9,87,1.48,99,CN,1611012886
222,rawson,-43.3002,-65.1023,68.11,57,12.62,0,AR,1611012589
223,ormara,25.2088,64.6357,67.5,71,3.44,0,PK,1611012886
224,plettenberg bay,-34.0527,23.3716,66.52,85,6.04,1,ZA,1611012886
225,manzhouli,49.6,117.4333,-15.95,87,2.06,87,CN,1611012886
226,pevek,69.7008,170.3133,-28.46,86,6.82,93,RU,1611012676
227,cavalcante,-13.7975,-47.4583,69.3,81,1.41,7,BR,1611012887
228,kabanjahe,3.1001,98.4908,75.2,100,4.61,40,ID,1611012887
229,pomabamba,-8.8333,-77.4667,52.21,73,1.74,98,PE,1611012887
230,thompson,55.7435,-97.8558,-7.6,84,1.14,75,CA,1611012887
231,kapaa,22.0752,-159.319,73.4,64,29.93,40,US,1611012612
232,labuhan,-6.8844,112.2051,78.85,86,13.31,99,ID,1611012888
233,ilulissat,69.2167,-51.1,10.4,61,3.44,97,GL,1611012888
234,nyurba,63.2842,118.3319,-50.53,76,5.44,53,RU,1611012888
235,dalbandin,28.8947,64.4101,54.21,59,3.67,0,PK,1611012889
236,paradise valley,33.5312,-111.9427,72.0,10,5.75,1,US,1611012661
237,alofi,-19.0595,-169.9187,87.8,62,6.91,40,NU,1611012889
238,suileng,47.25,127.0833,-24.83,84,7.07,6,CN,1611012890
239,matara,5.9485,80.5353,74.61,91,4.63,92,LK,1611012890
240,dukat,62.55,155.55,-36.89,82,6.15,100,RU,1611012890
241,padang,-0.9492,100.3543,73.4,94,2.3,40,ID,1611012891
242,guilin,25.2819,110.2864,30.2,100,1.36,0,CN,1611012891
243,westport,41.1415,-73.3579,39.99,58,11.68,42,US,1611012796
244,kidal,18.4411,1.4078,66.18,24,14.27,7,ML,1611012892
245,dali,25.7,100.1833,40.44,84,3.96,30,CN,1611012892
246,cherskiy,68.75,161.3,-43.15,80,4.92,47,RU,1611012892
247,maroon town,18.3446,-77.7954,78.8,73,8.05,20,JM,1611012892
248,ahipara,-35.1667,173.1667,71.53,66,13.51,51,NZ,1611012894
249,codrington,-38.2667,141.9667,60.03,58,13.98,32,AU,1611012894
250,broome,42.2506,-75.833,30.0,80,5.75,90,US,1611012894
251,yatou,37.15,122.3833,23.23,90,4.76,0,CN,1611012895
252,tambovka,50.0969,128.0489,-23.8,62,4.47,0,RU,1611012895
253,takoradi,4.8845,-1.7554,79.07,87,8.23,2,GH,1611012895
254,olafsvik,64.8945,-23.7142,32.05,90,14.12,4,IS,1611012895
255,batagay,67.6333,134.6333,-41.31,79,1.03,100,RU,1611012896
256,constitucion,-35.3333,-72.4167,60.84,75,5.64,0,CL,1611012896
